T,Vdot,CA_in,CB_in,CY_in,CZ_in,CY_out
300.0,100.0,5.0,5.0,0.5,1.0,3.28
300.0,100.0,5.0,5.0,0.5,2.5,2.87
300.0,100.0,5.0,5.0,0.5,5.0,2.29
300.0,100.0,5.0,5.0,1.0,0.5,3.94
300.0,100.0,5.0,5.0,1.0,1.0,3.78
300.0,100.0,5.0,5.0,1.0,2.5,3.37
300.0,100.0,5.0,5.0,1.0,5.0,2.8
300.0,100.0,5.0,5.0,2.5,0.5,5.43
300.0,100.0,5.0,5.0,2.5,1.0,5.28
300.0,100.0,5.0,5.0,2.5,2.5,4.87
300.0,100.0,5.0,5.0,2.5,5.0,4.29
300.0,100.0,5.0,5.0,5.0,0.5,7.93
300.0,100.0,5.0,5.0,5.0,1.0,7.77
300.0,100.0,5.0,5.0,5.0,2.5,7.36
300.0,100.0,5.0,5.0,5.0,5.0,6.8
320.0,50.0,0.5,0.5,0.5,0.5,0.92
320.0,50.0,0.5,0.5,0.5,1.0,0.88
320.0,50.0,0.5,0.5,0.5,2.5,0.8
320.0,50.0,0.5,0.5,0.5,5.0,0.7
320.0,50.0,0.5,0.5,1.0,0.5,1.43
320.0,50.0,0.5,0.5,1.0,1.0,1.39
320.0,50.0,0.5,0.5,1.0,2.5,1.3
320.0,50.0,0.5,0.5,1.0,5.0,1.2
320.0,50.0,0.5,0.5,2.5,0.5,2.91
320.0,50.0,0.5,0.5,2.5,1.0,2.89
320.0,50.0,0.5,0.5,2.5,2.5,2.8
320.0,50.0,0.5,0.5,2.5,5.0,2.7
320.0,50.0,0.5,0.5,5.0,0.5,5.43
320.0,50.0,0.5,0.5,5.0,1.0,5.38
320.0,50.0,0.5,0.5,5.0,2.5,5.29
320.0,50.0,0.5,0.5,5.0,5.0,5.19
320.0,50.0,0.5,1.0,0.5,0.5,0.99
320.0,50.0,0.5,1.0,0.5,1.0,0.97
320.0,50.0,0.5,1.0,0.5,2.5,0.9
320.0,50.0,0.5,1.0,0.5,5.0,0.79
320.0,50.0,0.5,1.0,1.0,0.5,1.49
320.0,50.0,0.5,1.0,1.0,1.0,1.46
320.0,50.0,0.5,1.0,1.0,2.5,1.41
320.0,50.0,0.5,1.0,1.0,5.0,1.3
320.0,50.0,0.5,1.0,2.5,0.5,2.98
320.0,50.0,0.5,1.0,2.5,1.0,2.97
320.0,50.0,0.5,1.0,2.5,2.5,2.9
320.0,50.0,0.5,1.0,2.5,5.0,2.79
320.0,50.0,0.5,1.0,5.0,0.5,5.47
320.0,50.0,0.5,1.0,5.0,1.0,5.47
320.0,50.0,0.5,1.0,5.0,2.5,5.4
320.0,50.0,0.5,1.0,5.0,5.0,5.3
320.0,50.0,0.5,2.5,0.5,0.5,0.99
320.0,50.0,0.5,2.5,0.5,1.0,0.99
320.0,50.0,0.5,2.5,0.5,2.5,0.96
320.0,50.0,0.5,2.5,0.5,5.0,0.9
320.0,50.0,0.5,2.5,1.0,0.5,1.5
320.0,50.0,0.5,2.5,1.0,1.0,1.48
320.0,50.0,0.5,2.5,1.0,2.5,1.46
320.0,50.0,0.5,2.5,1.0,5.0,1.41
320.0,50.0,0.5,2.5,2.5,0.5,2.99
320.0,50.0,0.5,2.5,2.5,1.0,2.98
320.0,50.0,0.5,2.5,2.5,2.5,2.96
320.0,50.0,0.5,2.5,2.5,5.0,2.9
320.0,50.0,0.5,2.5,5.0,0.5,5.49
320.0,50.0,0.5,2.5,5.0,1.0,5.5
320.0,50.0,0.5,2.5,5.0,2.5,5.47
320.0,50.0,0.5,2.5,5.0,5.0,5.41
320.0,50.0,0.5,5.0,0.5,0.5,0.99
320.0,50.0,0.5,5.0,0.5,1.0,0.99
320.0,50.0,0.5,5.0,0.5,2.5,0.98
320.0,50.0,0.5,5.0,0.5,5.0,0.94
320.0,50.0,0.5,5.0,1.0,0.5,1.49
320.0,50.0,0.5,5.0,1.0,1.0,1.5
320.0,50.0,0.5,5.0,1.0,2.5,1.48
320.0,50.0,0.5,5.0,1.0,5.0,1.45
320.0,50.0,0.5,5.0,2.5,0.5,3.0
320.0,50.0,0.5,5.0,2.5,1.0,3.0
320.0,50.0,0.5,5.0,2.5,2.5,2.98
320.0,50.0,0.5,5.0,2.5,5.0,2.95
320.0,50.0,0.5,5.0,5.0,0.5,5.5
320.0,50.0,0.5,5.0,5.0,1.0,5.5
320.0,50.0,0.5,5.0,5.0,2.5,5.48
320.0,50.0,0.5,5.0,5.0,5.0,5.45
320.0,50.0,1.0,0.5,0.5,0.5,0.98
320.0,50.0,1.0,0.5,0.5,1.0,0.97
320.0,50.0,1.0,0.5,0.5,2.5,0.9
320.0,50.0,1.0,0.5,0.5,5.0,0.79
320.0,50.0,1.0,0.5,1.0,0.5,1.49
320.0,50.0,1.0,0.5,1.0,1.0,1.48
320.0,50.0,1.0,0.5,1.0,2.5,1.41
320.0,50.0,1.0,0.5,1.0,5.0,1.3
320.0,50.0,1.0,0.5,2.5,0.5,2.98
320.0,50.0,1.0,0.5,2.5,1.0,2.97
320.0,50.0,1.0,0.5,2.5,2.5,2.9
320.0,50.0,1.0,0.5,2.5,5.0,2.79
320.0,50.0,1.0,0.5,5.0,0.5,5.49
320.0,50.0,1.0,0.5,5.0,1.0,5.47
320.0,50.0,1.0,0.5,5.0,2.5,5.4
320.0,50.0,1.0,0.5,5.0,5.0,5.3
320.0,50.0,1.0,1.0,0.5,0.5,1.34
320.0,50.0,1.0,1.0,0.5,1.0,1.29
320.0,50.0,1.0,1.0,0.5,2.5,1.15
320.0,50.0,1.0,1.0,0.5,5.0,0.99
320.0,50.0,1.0,1.0,1.0,0.5,1.84
320.0,50.0,1.0,1.0,1.0,1.0,1.8
320.0,50.0,1.0,1.0,1.0,2.5,1.66
320.0,50.0,1.0,1.0,1.0,5.0,1.5
320.0,50.0,1.0,1.0,2.5,0.5,3.35
320.0,50.0,1.0,1.0,2.5,1.0,3.29
320.0,50.0,1.0,1.0,2.5,2.5,3.15
320.0,50.0,1.0,1.0,2.5,5.0,3.0
320.0,50.0,1.0,1.0,5.0,0.5,5.83
320.0,50.0,1.0,1.0,5.0,1.0,5.79
320.0,50.0,1.0,1.0,5.0,2.5,5.66
320.0,50.0,1.0,1.0,5.0,5.0,5.48
320.0,50.0,1.0,2.5,0.5,0.5,1.48
320.0,50.0,1.0,2.5,0.5,1.0,1.46
320.0,50.0,1.0,2.5,0.5,2.5,1.38
320.0,50.0,1.0,2.5,0.5,5.0,1.26
320.0,50.0,1.0,2.5,1.0,0.5,1.98
320.0,50.0,1.0,2.5,1.0,1.0,1.97
320.0,50.0,1.0,2.5,1.0,2.5,1.89
320.0,50.0,1.0,2.5,1.0,5.0,1.74
320.0,50.0,1.0,2.5,2.5,0.5,3.47
320.0,50.0,1.0,2.5,2.5,1.0,3.46
320.0,50.0,1.0,2.5,2.5,2.5,3.39
320.0,50.0,1.0,2.5,2.5,5.0,3.26
320.0,50.0,1.0,2.5,5.0,0.5,5.98
320.0,50.0,1.0,2.5,5.0,1.0,5.96
320.0,50.0,1.0,2.5,5.0,2.5,5.88
320.0,50.0,1.0,2.5,5.0,5.0,5.76
320.0,50.0,1.0,5.0,0.5,0.5,1.48
320.0,50.0,1.0,5.0,0.5,1.0,1.49
320.0,50.0,1.0,5.0,0.5,2.5,1.46
320.0,50.0,1.0,5.0,0.5,5.0,1.38
320.0,50.0,1.0,5.0,1.0,0.5,2.0
320.0,50.0,1.0,5.0,1.0,1.0,1.98
320.0,50.0,1.0,5.0,1.0,2.5,1.95
320.0,50.0,1.0,5.0,1.0,5.0,1.88
320.0,50.0,1.0,5.0,2.5,0.5,3.49
320.0,50.0,1.0,5.0,2.5,1.0,3.49
320.0,50.0,1.0,5.0,2.5,2.5,3.46
320.0,50.0,1.0,5.0,2.5,5.0,3.36
320.0,50.0,1.0,5.0,5.0,0.5,6.0
320.0,50.0,1.0,5.0,5.0,1.0,5.99
320.0,50.0,1.0,5.0,5.0,2.5,5.94
320.0,50.0,1.0,5.0,5.0,5.0,5.88
320.0,50.0,2.5,0.5,0.5,0.5,1.0
320.0,50.0,2.5,0.5,0.5,1.0,1.0
320.0,50.0,2.5,0.5,0.5,2.5,0.96
320.0,50.0,2.5,0.5,0.5,5.0,0.91
320.0,50.0,2.5,0.5,1.0,0.5,1.49
320.0,50.0,2.5,0.5,1.0,1.0,1.49
320.0,50.0,2.5,0.5,1.0,2.5,1.47
320.0,50.0,2.5,0.5,1.0,5.0,1.4
320.0,50.0,2.5,0.5,2.5,0.5,3.0
320.0,50.0,2.5,0.5,2.5,1.0,2.99
320.0,50.0,2.5,0.5,2.5,2.5,2.96
320.0,50.0,2.5,0.5,2.5,5.0,2.9
320.0,50.0,2.5,0.5,5.0,0.5,5.5
320.0,50.0,2.5,0.5,5.0,1.0,5.5
320.0,50.0,2.5,0.5,5.0,2.5,5.46
320.0,50.0,2.5,0.5,5.0,5.0,5.4
320.0,50.0,2.5,1.0,0.5,0.5,1.47
320.0,50.0,2.5,1.0,0.5,1.0,1.47
320.0,50.0,2.5,1.0,0.5,2.5,1.4
320.0,50.0,2.5,1.0,0.5,5.0,1.25
320.0,50.0,2.5,1.0,1.0,0.5,1.97
320.0,50.0,2.5,1.0,1.0,1.0,1.96
320.0,50.0,2.5,1.0,1.0,2.5,1.88
320.0,50.0,2.5,1.0,1.0,5.0,1.75
320.0,50.0,2.5,1.0,2.5,0.5,3.48
320.0,50.0,2.5,1.0,2.5,1.0,3.46
320.0,50.0,2.5,1.0,2.5,2.5,3.38
320.0,50.0,2.5,1.0,2.5,5.0,3.25
320.0,50.0,2.5,1.0,5.0,0.5,5.97
320.0,50.0,2.5,1.0,5.0,1.0,5.95
320.0,50.0,2.5,1.0,5.0,2.5,5.88
320.0,50.0,2.5,1.0,5.0,5.0,5.76
320.0,50.0,2.5,2.5,0.5,0.5,2.53
320.0,50.0,2.5,2.5,0.5,1.0,2.46
320.0,50.0,2.5,2.5,0.5,2.5,2.26
320.0,50.0,2.5,2.5,0.5,5.0,1.97
320.0,50.0,2.5,2.5,1.0,0.5,3.03
320.0,50.0,2.5,2.5,1.0,1.0,2.96
320.0,50.0,2.5,2.5,1.0,2.5,2.76
320.0,50.0,2.5,2.5,1.0,5.0,2.47
320.0,50.0,2.5,2.5,2.5,0.5,4.52
320.0,50.0,2.5,2.5,2.5,1.0,4.47
320.0,50.0,2.5,2.5,2.5,2.5,4.25
320.0,50.0,2.5,2.5,2.5,5.0,3.96
320.0,50.0,2.5,2.5,5.0,0.5,7.03
320.0,50.0,2.5,2.5,5.0,1.0,6.96
320.0,50.0,2.5,2.5,5.0,2.5,6.75
320.0,50.0,2.5,2.5,5.0,5.0,6.47
320.0,50.0,2.5,5.0,0.5,0.5,2.87
320.0,50.0,2.5,5.0,0.5,1.0,2.84
320.0,50.0,2.5,5.0,0.5,2.5,2.7
320.0,50.0,2.5,5.0,0.5,5.0,2.47
320.0,50.0,2.5,5.0,1.0,0.5,3.38
320.0,50.0,2.5,5.0,1.0,1.0,3.33
320.0,50.0,2.5,5.0,1.0,2.5,3.2
320.0,50.0,2.5,5.0,1.0,5.0,2.95
320.0,50.0,2.5,5.0,2.5,0.5,4.86
320.0,50.0,2.5,5.0,2.5,1.0,4.84
320.0,50.0,2.5,5.0,2.5,2.5,4.7
320.0,50.0,2.5,5.0,2.5,5.0,4.46
320.0,50.0,2.5,5.0,5.0,0.5,7.37
320.0,50.0,2.5,5.0,5.0,1.0,7.32
320.0,50.0,2.5,5.0,5.0,2.5,7.2
320.0,50.0,2.5,5.0,5.0,5.0,6.96
320.0,50.0,5.0,0.5,0.5,0.5,1.01
320.0,50.0,5.0,0.5,0.5,1.0,0.99
320.0,50.0,5.0,0.5,0.5,2.5,0.99
320.0,50.0,5.0,0.5,0.5,5.0,0.95
320.0,50.0,5.0,0.5,1.0,0.5,1.5
320.0,50.0,5.0,0.5,1.0,1.0,1.5
320.0,50.0,5.0,0.5,1.0,2.5,1.48
320.0,50.0,5.0,0.5,1.0,5.0,1.44
320.0,50.0,5.0,0.5,2.5,0.5,3.0
320.0,50.0,5.0,0.5,2.5,1.0,2.99
320.0,50.0,5.0,0.5,2.5,2.5,2.98
320.0,50.0,5.0,0.5,2.5,5.0,2.96
320.0,50.0,5.0,0.5,5.0,0.5,5.5
320.0,50.0,5.0,0.5,5.0,1.0,5.5
320.0,50.0,5.0,0.5,5.0,2.5,5.48
320.0,50.0,5.0,0.5,5.0,5.0,5.45
320.0,50.0,5.0,1.0,0.5,0.5,1.49
320.0,50.0,5.0,1.0,0.5,1.0,1.48
320.0,50.0,5.0,1.0,0.5,2.5,1.45
320.0,50.0,5.0,1.0,0.5,5.0,1.37
320.0,50.0,5.0,1.0,1.0,0.5,1.98
320.0,50.0,5.0,1.0,1.0,1.0,1.99
320.0,50.0,5.0,1.0,1.0,2.5,1.96
320.0,50.0,5.0,1.0,1.0,5.0,1.88
320.0,50.0,5.0,1.0,2.5,0.5,3.48
320.0,50.0,5.0,1.0,2.5,1.0,3.49
320.0,50.0,5.0,1.0,2.5,2.5,3.45
320.0,50.0,5.0,1.0,2.5,5.0,3.37
320.0,50.0,5.0,1.0,5.0,0.5,6.0
320.0,50.0,5.0,1.0,5.0,1.0,5.98
320.0,50.0,5.0,1.0,5.0,2.5,5.96
320.0,50.0,5.0,1.0,5.0,5.0,5.87
320.0,50.0,5.0,2.5,0.5,0.5,2.86
320.0,50.0,5.0,2.5,0.5,1.0,2.83
320.0,50.0,5.0,2.5,0.5,2.5,2.7
320.0,50.0,5.0,2.5,0.5,5.0,2.47
320.0,50.0,5.0,2.5,1.0,0.5,3.38
320.0,50.0,5.0,2.5,1.0,1.0,3.33
320.0,50.0,5.0,2.5,1.0,2.5,3.19
320.0,50.0,5.0,2.5,1.0,5.0,2.95
320.0,50.0,5.0,2.5,2.5,0.5,4.88
320.0,50.0,5.0,2.5,2.5,1.0,4.83
320.0,50.0,5.0,2.5,2.5,2.5,4.7
320.0,50.0,5.0,2.5,2.5,5.0,4.46
320.0,50.0,5.0,2.5,5.0,0.5,7.37
320.0,50.0,5.0,2.5,5.0,1.0,7.33
320.0,50.0,5.0,2.5,5.0,2.5,7.2
320.0,50.0,5.0,2.5,5.0,5.0,6.96
320.0,50.0,5.0,5.0,0.5,0.5,4.37
320.0,50.0,5.0,5.0,0.5,1.0,4.28
320.0,50.0,5.0,5.0,0.5,2.5,4.01
320.0,50.0,5.0,5.0,0.5,5.0,3.61
320.0,50.0,5.0,5.0,1.0,0.5,4.86
320.0,50.0,5.0,5.0,1.0,1.0,4.78
320.0,50.0,5.0,5.0,1.0,2.5,4.52
320.0,50.0,5.0,5.0,1.0,5.0,4.11
320.0,50.0,5.0,5.0,2.5,0.5,6.36
320.0,50.0,5.0,5.0,2.5,1.0,6.28
320.0,50.0,5.0,5.0,2.5,2.5,6.01
320.0,50.0,5.0,5.0,2.5,5.0,5.61
320.0,50.0,5.0,5.0,5.0,0.5,8.87
320.0,50.0,5.0,5.0,5.0,1.0,8.78
320.0,50.0,5.0,5.0,5.0,2.5,8.51
320.0,50.0,5.0,5.0,5.0,5.0,8.11
320.0,100.0,0.5,0.5,0.5,0.5,0.9
320.0,100.0,0.5,0.5,0.5,1.0,0.85
320.0,100.0,0.5,0.5,0.5,2.5,0.75
320.0,100.0,0.5,0.5,0.5,5.0,0.64
320.0,100.0,0.5,0.5,1.0,0.5,1.4
320.0,100.0,0.5,0.5,1.0,1.0,1.35
320.0,100.0,0.5,0.5,1.0,2.5,1.24
320.0,100.0,0.5,0.5,1.0,5.0,1.13
320.0,100.0,0.5,0.5,2.5,0.5,2.9
320.0,100.0,0.5,0.5,2.5,1.0,2.85
320.0,100.0,0.5,0.5,2.5,2.5,2.74
320.0,100.0,0.5,0.5,2.5,5.0,2.64
320.0,100.0,0.5,0.5,5.0,0.5,5.4
320.0,100.0,0.5,0.5,5.0,1.0,5.36
320.0,100.0,0.5,0.5,5.0,2.5,5.26
320.0,100.0,0.5,0.5,5.0,5.0,5.13
320.0,100.0,0.5,1.0,0.5,0.5,0.98
320.0,100.0,0.5,1.0,0.5,1.0,0.95
320.0,100.0,0.5,1.0,0.5,2.5,0.85
320.0,100.0,0.5,1.0,0.5,5.0,0.72
320.0,100.0,0.5,1.0,1.0,0.5,1.48
320.0,100.0,0.5,1.0,1.0,1.0,1.43
320.0,100.0,0.5,1.0,1.0,2.5,1.34
320.0,100.0,0.5,1.0,1.0,5.0,1.23
320.0,100.0,0.5,1.0,2.5,0.5,2.98
320.0,100.0,0.5,1.0,2.5,1.0,2.95
320.0,100.0,0.5,1.0,2.5,2.5,2.84
320.0,100.0,0.5,1.0,2.5,5.0,2.72
320.0,100.0,0.5,1.0,5.0,0.5,5.48
320.0,100.0,0.5,1.0,5.0,1.0,5.45
320.0,100.0,0.5,1.0,5.0,2.5,5.35
320.0,100.0,0.5,1.0,5.0,5.0,5.23
320.0,100.0,0.5,2.5,0.5,0.5,1.0
320.0,100.0,0.5,2.5,0.5,1.0,0.99
320.0,100.0,0.5,2.5,0.5,2.5,0.93
320.0,100.0,0.5,2.5,0.5,5.0,0.85
320.0,100.0,0.5,2.5,1.0,0.5,1.49
320.0,100.0,0.5,2.5,1.0,1.0,1.48
320.0,100.0,0.5,2.5,1.0,2.5,1.44
320.0,100.0,0.5,2.5,1.0,5.0,1.34
320.0,100.0,0.5,2.5,2.5,0.5,3.0
320.0,100.0,0.5,2.5,2.5,1.0,2.99
320.0,100.0,0.5,2.5,2.5,2.5,2.94
320.0,100.0,0.5,2.5,2.5,5.0,2.85
320.0,100.0,0.5,2.5,5.0,0.5,5.5
320.0,100.0,0.5,2.5,5.0,1.0,5.48
320.0,100.0,0.5,2.5,5.0,2.5,5.44
320.0,100.0,0.5,2.5,5.0,5.0,5.35
320.0,100.0,0.5,5.0,0.5,0.5,1.0
320.0,100.0,0.5,5.0,0.5,1.0,0.99
320.0,100.0,0.5,5.0,0.5,2.5,0.97
320.0,100.0,0.5,5.0,0.5,5.0,0.91
320.0,100.0,0.5,5.0,1.0,0.5,1.49
320.0,100.0,0.5,5.0,1.0,1.0,1.49
320.0,100.0,0.5,5.0,1.0,2.5,1.47
320.0,100.0,0.5,5.0,1.0,5.0,1.4
320.0,100.0,0.5,5.0,2.5,0.5,2.99
320.0,100.0,0.5,5.0,2.5,1.0,3.0
320.0,100.0,0.5,5.0,2.5,2.5,2.97
320.0,100.0,0.5,5.0,2.5,5.0,2.9
320.0,100.0,0.5,5.0,5.0,0.5,5.49
320.0,100.0,0.5,5.0,5.0,1.0,5.5
320.0,100.0,0.5,5.0,5.0,2.5,5.47
320.0,100.0,0.5,5.0,5.0,5.0,5.4
320.0,100.0,1.0,0.5,0.5,0.5,0.98
320.0,100.0,1.0,0.5,0.5,1.0,0.95
320.0,100.0,1.0,0.5,0.5,2.5,0.86
320.0,100.0,1.0,0.5,0.5,5.0,0.72
320.0,100.0,1.0,0.5,1.0,0.5,1.47
320.0,100.0,1.0,0.5,1.0,1.0,1.44
320.0,100.0,1.0,0.5,1.0,2.5,1.34
320.0,100.0,1.0,0.5,1.0,5.0,1.23
320.0,100.0,1.0,0.5,2.5,0.5,2.98
320.0,100.0,1.0,0.5,2.5,1.0,2.93
320.0,100.0,1.0,0.5,2.5,2.5,2.86
320.0,100.0,1.0,0.5,2.5,5.0,2.73
320.0,100.0,1.0,0.5,5.0,0.5,5.47
320.0,100.0,1.0,0.5,5.0,1.0,5.45
320.0,100.0,1.0,0.5,5.0,2.5,5.35
320.0,100.0,1.0,0.5,5.0,5.0,5.23
320.0,100.0,1.0,1.0,0.5,0.5,1.28
320.0,100.0,1.0,1.0,0.5,1.0,1.23
320.0,100.0,1.0,1.0,0.5,2.5,1.07
320.0,100.0,1.0,1.0,0.5,5.0,0.89
320.0,100.0,1.0,1.0,1.0,0.5,1.78
320.0,100.0,1.0,1.0,1.0,1.0,1.72
320.0,100.0,1.0,1.0,1.0,2.5,1.57
320.0,100.0,1.0,1.0,1.0,5.0,1.38
320.0,100.0,1.0,1.0,2.5,0.5,3.29
320.0,100.0,1.0,1.0,2.5,1.0,3.23
320.0,100.0,1.0,1.0,2.5,2.5,3.06
320.0,100.0,1.0,1.0,2.5,5.0,2.89
320.0,100.0,1.0,1.0,5.0,0.5,5.8
320.0,100.0,1.0,1.0,5.0,1.0,5.73
320.0,100.0,1.0,1.0,5.0,2.5,5.58
320.0,100.0,1.0,1.0,5.0,5.0,5.39
320.0,100.0,1.0,2.5,0.5,0.5,1.45
320.0,100.0,1.0,2.5,0.5,1.0,1.42
320.0,100.0,1.0,2.5,0.5,2.5,1.32
320.0,100.0,1.0,2.5,0.5,5.0,1.14
320.0,100.0,1.0,2.5,1.0,0.5,1.95
320.0,100.0,1.0,2.5,1.0,1.0,1.92
320.0,100.0,1.0,2.5,1.0,2.5,1.81
320.0,100.0,1.0,2.5,1.0,5.0,1.62
320.0,100.0,1.0,2.5,2.5,0.5,3.45
320.0,100.0,1.0,2.5,2.5,1.0,3.43
320.0,100.0,1.0,2.5,2.5,2.5,3.32
320.0,100.0,1.0,2.5,2.5,5.0,3.14
320.0,100.0,1.0,2.5,5.0,0.5,5.96
320.0,100.0,1.0,2.5,5.0,1.0,5.93
320.0,100.0,1.0,2.5,5.0,2.5,5.82
320.0,100.0,1.0,2.5,5.0,5.0,5.63
320.0,100.0,1.0,5.0,0.5,0.5,1.48
320.0,100.0,1.0,5.0,0.5,1.0,1.46
320.0,100.0,1.0,5.0,0.5,2.5,1.41
320.0,100.0,1.0,5.0,0.5,5.0,1.29
320.0,100.0,1.0,5.0,1.0,0.5,1.97
320.0,100.0,1.0,5.0,1.0,1.0,1.97
320.0,100.0,1.0,5.0,1.0,2.5,1.91
320.0,100.0,1.0,5.0,1.0,5.0,1.78
320.0,100.0,1.0,5.0,2.5,0.5,3.49
320.0,100.0,1.0,5.0,2.5,1.0,3.46
320.0,100.0,1.0,5.0,2.5,2.5,3.41
320.0,100.0,1.0,5.0,2.5,5.0,3.29
320.0,100.0,1.0,5.0,5.0,0.5,5.98
320.0,100.0,1.0,5.0,5.0,1.0,5.96
320.0,100.0,1.0,5.0,5.0,2.5,5.91
320.0,100.0,1.0,5.0,5.0,5.0,5.78
320.0,100.0,2.5,0.5,0.5,0.5,0.99
320.0,100.0,2.5,0.5,0.5,1.0,0.98
320.0,100.0,2.5,0.5,0.5,2.5,0.93
320.0,100.0,2.5,0.5,0.5,5.0,0.84
320.0,100.0,2.5,0.5,1.0,0.5,1.5
320.0,100.0,2.5,0.5,1.0,1.0,1.48
320.0,100.0,2.5,0.5,1.0,2.5,1.44
320.0,100.0,2.5,0.5,1.0,5.0,1.34
320.0,100.0,2.5,0.5,2.5,0.5,3.0
320.0,100.0,2.5,0.5,2.5,1.0,2.98
320.0,100.0,2.5,0.5,2.5,2.5,2.94
320.0,100.0,2.5,0.5,2.5,5.0,2.84
320.0,100.0,2.5,0.5,5.0,0.5,5.48
320.0,100.0,2.5,0.5,5.0,1.0,5.48
320.0,100.0,2.5,0.5,5.0,2.5,5.43
320.0,100.0,2.5,0.5,5.0,5.0,5.34
320.0,100.0,2.5,1.0,0.5,0.5,1.45
320.0,100.0,2.5,1.0,0.5,1.0,1.42
320.0,100.0,2.5,1.0,0.5,2.5,1.31
320.0,100.0,2.5,1.0,0.5,5.0,1.13
320.0,100.0,2.5,1.0,1.0,0.5,1.95
320.0,100.0,2.5,1.0,1.0,1.0,1.93
320.0,100.0,2.5,1.0,1.0,2.5,1.81
320.0,100.0,2.5,1.0,1.0,5.0,1.63
320.0,100.0,2.5,1.0,2.5,0.5,3.45
320.0,100.0,2.5,1.0,2.5,1.0,3.42
320.0,100.0,2.5,1.0,2.5,2.5,3.31
320.0,100.0,2.5,1.0,2.5,5.0,3.14
320.0,100.0,2.5,1.0,5.0,0.5,5.95
320.0,100.0,2.5,1.0,5.0,1.0,5.93
320.0,100.0,2.5,1.0,5.0,2.5,5.82
320.0,100.0,2.5,1.0,5.0,5.0,5.62
320.0,100.0,2.5,2.5,0.5,0.5,2.38
320.0,100.0,2.5,2.5,0.5,1.0,2.29
320.0,100.0,2.5,2.5,0.5,2.5,2.05
320.0,100.0,2.5,2.5,0.5,5.0,1.71
320.0,100.0,2.5,2.5,1.0,0.5,2.9
320.0,100.0,2.5,2.5,1.0,1.0,2.79
320.0,100.0,2.5,2.5,1.0,2.5,2.55
320.0,100.0,2.5,2.5,1.0,5.0,2.23
320.0,100.0,2.5,2.5,2.5,0.5,4.38
320.0,100.0,2.5,2.5,2.5,1.0,4.3
320.0,100.0,2.5,2.5,2.5,2.5,4.05
320.0,100.0,2.5,2.5,2.5,5.0,3.71
320.0,100.0,2.5,2.5,5.0,0.5,6.9
320.0,100.0,2.5,2.5,5.0,1.0,6.8
320.0,100.0,2.5,2.5,5.0,2.5,6.57
320.0,100.0,2.5,2.5,5.0,5.0,6.21
320.0,100.0,2.5,5.0,0.5,0.5,2.77
320.0,100.0,2.5,5.0,0.5,1.0,2.71
320.0,100.0,2.5,5.0,0.5,2.5,2.51
320.0,100.0,2.5,5.0,0.5,5.0,2.19
320.0,100.0,2.5,5.0,1.0,0.5,3.27
320.0,100.0,2.5,5.0,1.0,1.0,3.22
320.0,100.0,2.5,5.0,1.0,2.5,3.01
320.0,100.0,2.5,5.0,1.0,5.0,2.7
320.0,100.0,2.5,5.0,2.5,0.5,4.77
320.0,100.0,2.5,5.0,2.5,1.0,4.72
320.0,100.0,2.5,5.0,2.5,2.5,4.51
320.0,100.0,2.5,5.0,2.5,5.0,4.19
320.0,100.0,2.5,5.0,5.0,0.5,7.27
320.0,100.0,2.5,5.0,5.0,1.0,7.21
320.0,100.0,2.5,5.0,5.0,2.5,7.02
320.0,100.0,2.5,5.0,5.0,5.0,6.7
320.0,100.0,5.0,0.5,0.5,0.5,1.0
320.0,100.0,5.0,0.5,0.5,1.0,0.98
320.0,100.0,5.0,0.5,0.5,2.5,0.96
320.0,100.0,5.0,0.5,0.5,5.0,0.91
320.0,100.0,5.0,0.5,1.0,0.5,1.49
320.0,100.0,5.0,0.5,1.0,1.0,1.48
320.0,100.0,5.0,0.5,1.0,2.5,1.47
320.0,100.0,5.0,0.5,1.0,5.0,1.41
320.0,100.0,5.0,0.5,2.5,0.5,3.01
320.0,100.0,5.0,0.5,2.5,1.0,2.99
320.0,100.0,5.0,0.5,2.5,2.5,2.96
320.0,100.0,5.0,0.5,2.5,5.0,2.91
320.0,100.0,5.0,0.5,5.0,0.5,5.5
320.0,100.0,5.0,0.5,5.0,1.0,5.48
320.0,100.0,5.0,0.5,5.0,2.5,5.48
320.0,100.0,5.0,0.5,5.0,5.0,5.4
320.0,100.0,5.0,1.0,0.5,0.5,1.49
320.0,100.0,5.0,1.0,0.5,1.0,1.46
320.0,100.0,5.0,1.0,0.5,2.5,1.42
320.0,100.0,5.0,1.0,0.5,5.0,1.28
320.0,100.0,5.0,1.0,1.0,0.5,1.97
320.0,100.0,5.0,1.0,1.0,1.0,1.97
320.0,100.0,5.0,1.0,1.0,2.5,1.91
320.0,100.0,5.0,1.0,1.0,5.0,1.78
320.0,100.0,5.0,1.0,2.5,0.5,3.48
320.0,100.0,5.0,1.0,2.5,1.0,3.48
320.0,100.0,5.0,1.0,2.5,2.5,3.41
320.0,100.0,5.0,1.0,2.5,5.0,3.29
320.0,100.0,5.0,1.0,5.0,0.5,5.99
320.0,100.0,5.0,1.0,5.0,1.0,5.97
320.0,100.0,5.0,1.0,5.0,2.5,5.92
320.0,100.0,5.0,1.0,5.0,5.0,5.78
320.0,100.0,5.0,2.5,0.5,0.5,2.78
320.0,100.0,5.0,2.5,0.5,1.0,2.72
320.0,100.0,5.0,2.5,0.5,2.5,2.53
